2018-12-13 14:53:10,154 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:10,250 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:10,344 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:10,434 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:10,540 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:10,628 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:10,734 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:10,826 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:10,921 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:11,026 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:11,121 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:11,216 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:11,308 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:11,414 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:11,508 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:11,599 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:11,690 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:11,784 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:11,871 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:11,968 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:12,054 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:12,152 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:12,261 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:12,372 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:12,464 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:12,562 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:12,645 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:12,735 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
