2018-12-13 11:09:39,932 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-43-54.mog log file started his parsing process
2018-12-13 11:09:39,962 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-43-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:39,982 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-44-54.mog log file started his parsing process
2018-12-13 11:09:40,044 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-44-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:40,093 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-45-54.mog log file started his parsing process
2018-12-13 11:09:40,183 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-45-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:40,227 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-46-54.mog log file started his parsing process
2018-12-13 11:09:40,314 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-46-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:40,350 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-47-54.mog log file started his parsing process
2018-12-13 11:09:40,395 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-47-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:40,425 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-48-54.mog log file started his parsing process
2018-12-13 11:09:40,456 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-48-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:40,475 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-49-54.mog log file started his parsing process
2018-12-13 11:09:40,521 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-49-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:40,541 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-50-54.mog log file started his parsing process
2018-12-13 11:09:40,589 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-50-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:40,610 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-51-54.mog log file started his parsing process
2018-12-13 11:09:40,658 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-51-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:40,682 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-52-54.mog log file started his parsing process
2018-12-13 11:09:40,763 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-52-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:40,806 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-53-54.mog log file started his parsing process
2018-12-13 11:09:40,872 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-53-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:40,913 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-54-54.mog log file started his parsing process
2018-12-13 11:09:40,959 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-54-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:40,979 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-55-54.mog log file started his parsing process
2018-12-13 11:09:41,017 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-55-54.mog log file has successfuly finished his parsing process
